paper_id,category_ids
T-000,C-113;C-193
T-001,C-044;C-140;C-193
T-002,C-113;C-193
T-003,C-021;C-210;C-213;C-216;C-218
T-004,C-044;C-048;C-050
T-005,C-090;C-206;C-221;C-234;C-236;C-239
T-006,C-021;C-210;C-216;C-218;C-220
T-007,C-063;C-108;C-141;C-181
T-008,C-021;C-045;C-210;C-216;C-218
T-009,C-021;C-063;C-141;C-181;C-234;C-239
T-010,C-045;C-050;C-153;C-154;C-181
T-011,C-127;C-193;C-206;C-234;C-239
T-012,C-113;C-193
T-013,C-045;C-193;C-236;C-239
T-014,C-113;C-126;C-130;C-193
T-015,C-063;C-193;C-206;C-236;C-239
T-016,C-063;C-234;C-236;C-239
T-017,C-021;C-043;C-210
T-018,C-113;C-193
T-019,C-113;C-193
T-020,C-050;C-140;C-193
T-021,C-045;C-193;C-236;C-239
T-022,C-025;C-092;C-113;C-193
T-023,C-043;C-063;C-236;C-239
T-024,C-028;C-063;C-141;C-181
T-025,C-021;C-045;C-193;C-210
T-026,C-044;C-045;C-050;C-193;C-236
T-027,C-113;C-140;C-193
T-028,C-113;C-140;C-193
T-029,C-013;C-079;C-089;C-181;C-225
T-030,C-028;C-029;C-063;C-141;C-234;C-236
T-031,C-011;C-096;C-132
T-032,C-029;C-063;C-234;C-236
T-033,C-029;C-063
T-034,C-044;C-045;C-050;C-193
T-035,C-044;C-050;C-140
T-036,C-044;C-045;C-050
T-037,C-044;C-045;C-050
T-038,C-046;C-047;C-050;C-076;C-195
T-039,C-045;C-141;C-206;C-236;C-239
T-040,C-045;C-199;C-236;C-237;C-239
T-041,C-047;C-050;C-122
T-042,C-113;C-140;C-193
T-043,C-012;C-050;C-112;C-200;C-237
T-044,C-050;C-140;C-152
T-045,C-049;C-050;C-140
T-046,C-043;C-220;C-234;C-236;C-239
T-047,C-028;C-043;C-063;C-220;C-234;C-236;C-239
T-048,C-050;C-071;C-083;C-181
T-049,C-021;C-028;C-043;C-047;C-089;C-211
T-050,C-113;C-193
T-051,C-043;C-045;C-220;C-234;C-239
T-052,C-050;C-113;C-122;C-193
T-053,C-044;C-050;C-113;C-140;C-193
T-054,C-113;C-140;C-193
T-055,C-028;C-063;C-127;C-239
T-056,C-021;C-094;C-118;C-183;C-210;C-216
T-057,C-029;C-063;C-127;C-141;C-181;C-206
T-058,C-025;C-032;C-128;C-203
T-059,C-011;C-012;C-112;C-239
T-060,C-113;C-122
T-061,C-113;C-193
T-062,C-044;C-050;C-140
T-063,C-193;C-234;C-236;C-239
T-064,C-045;C-193;C-236;C-239
T-065,C-021;C-028;C-141;C-210;C-211;C-216;C-220;C-239
T-066,C-193;C-210
T-067,C-018;C-193;C-194;C-200
T-068,C-193;C-206;C-220;C-234;C-236;C-239
T-069,C-021;C-141;C-220;C-234;C-239
T-070,C-021;C-220;C-234;C-236;C-239
T-071,C-044;C-047;C-050;C-122
T-072,C-021;C-043;C-210;C-218;C-220
T-073,C-045;C-154;C-169
T-074,C-090;C-127;C-193;C-206;C-239
T-075,C-021;C-193;C-210;C-220;C-234;C-239
T-076,C-063;C-125;C-127;C-206;C-221;C-234;C-236
T-077,C-021;C-193;C-210
T-078,C-045;C-047;C-050
T-079,C-021;C-220;C-239
T-080,C-021;C-210;C-220;C-234;C-236;C-239
T-081,C-021;C-210;C-220;C-234;C-236;C-239
T-082,C-021;C-210;C-218;C-220
T-083,C-021;C-210
T-084,C-021;C-025;C-045;C-063;C-112;C-210;C-234;C-236;C-239
T-085,C-021;C-044;C-048;C-210
T-086,C-044;C-045;C-050
T-087,C-113;C-126;C-130;C-140;C-193
T-088,C-113;C-140;C-193;C-234;C-236;C-239
T-089,C-045;C-113;C-193;C-210
T-090,C-045;C-113;C-140;C-193
T-091,C-021;C-044;C-045;C-050;C-210
T-092,C-021;C-044;C-193;C-210;C-218
T-093,C-045;C-049;C-151;C-181;C-237
T-094,C-025;C-026;C-128;C-194;C-199;C-200;C-203
T-095,C-113;C-140;C-193
T-097,C-050;C-113;C-193
T-098,C-021;C-025;C-092;C-100;C-210;C-212
T-099,C-021;C-210;C-216;C-218
T-100,C-021;C-044;C-045;C-050;C-193;C-210
T-101,C-044;C-050
T-102,C-021;C-174;C-210;C-212;C-216
T-103,C-113;C-193
T-104,C-193;C-210;C-218
T-105,C-042;C-092;C-113;C-193;C-203
T-106,C-113;C-193
T-107,C-152;C-153
T-108,C-029;C-063
T-109,C-043;C-126;C-130;C-234;C-236;C-239
T-110,C-029;C-063
T-111,C-029;C-063
T-112,C-063;C-206;C-234;C-236
T-113,C-021;C-100;C-210;C-213;C-214
T-114,C-021;C-220;C-234;C-236;C-239
T-115,C-029;C-050;C-063;C-090;C-112;C-113;C-206;C-221
