subject_category,Domain-1,Domain-2
Acoustics,Engineering & Technology,
Agricultural Economics & Policy,Life Sciences,
Agricultural Engineering,Life Sciences,
"Agriculture, Dairy & Animal Science",Life Sciences,
"Agriculture, Multidisciplinary",Life Sciences,
Agronomy,Life Sciences,
Allergy,"Clinical, Pre-Clinical & Health",
Anatomy & Morphology,Life Sciences,
Andrology,Life Sciences,
Anesthesiology,"Clinical, Pre-Clinical & Health",
Anthropology,Social Sciences,
Archaeology,Social Sciences,
Architecture,Arts & Humanities,
Area Studies,Social Sciences,
Art,Arts & Humanities,
Arts & Humanities,Arts & Humanities,
Asian Studies,Arts & Humanities,
Astronomy & Astrophysics,Physical Sciences,
Audiology & Speech-Language Pathology,"Clinical, Pre-Clinical & Health",
Automation & Control Systems,Engineering & Technology,
Behavioral Sciences,Life Sciences,
Biochemical Research Methods,Life Sciences,
Biochemistry & Molecular Biology,Life Sciences,
Biodiversity Conservation,Life Sciences,
Biology,Life Sciences,
Biophysics,Life Sciences,
Biotechnology & Applied Microbiology,Life Sciences,
Business,Social Sciences,
"Business, Finance",Social Sciences,
Cardiac & Cardiovascular Systems,Life Sciences,"Clinical, Pre-Clinical & Health"
Cell & Tissue Engineering,Life Sciences,
Cell Biology,Life Sciences,
"Chemistry, Analytical",Physical Sciences,
"Chemistry, Applied",Physical Sciences,
"Chemistry, Inorganic & Nuclear",Physical Sciences,
"Chemistry, Medicinal",Physical Sciences,
"Chemistry, Multidisciplinary",Physical Sciences,
"Chemistry, Organic",Physical Sciences,
"Chemistry, Physical",Physical Sciences,
Classics,Arts & Humanities,
Clinical Neurology,"Clinical, Pre-Clinical & Health",
"Clinical, Pre-Clinical & Health","Clinical, Pre-Clinical & Health",
Communication,Social Sciences,
"Computer Science, Artificial Intelligence",Engineering & Technology,
"Computer Science, Cybernetics",Engineering & Technology,
"Computer Science, Hardware & Architecture",Engineering & Technology,
"Computer Science, Information Systems",Engineering & Technology,
"Computer Science, Interdisciplinary Applications",Engineering & Technology,
"Computer Science, Software Engineering",Engineering & Technology,
"Computer Science, Theory & Methods",Engineering & Technology,
Construction & Building Technology,Engineering & Technology,
Criminology & Penology,Social Sciences,
Critical Care Medicine,"Clinical, Pre-Clinical & Health",
Crystallography,Physical Sciences,
Cultural Studies,Arts & Humanities,
Dance,Arts & Humanities,
Demography,Social Sciences,
"Dentistry, Oral Surgery & Medicine","Clinical, Pre-Clinical & Health",
Dermatology,"Clinical, Pre-Clinical & Health",
Development Studies,Social Sciences,
Developmental Biology,Life Sciences,
Ecology,Life Sciences,
Economics,Social Sciences,
Education & Educational Research,Social Sciences,
"Education, Scientific Disciplines",Social Sciences,
"Education, Special",Social Sciences,
Electrochemistry,Physical Sciences,
Emergency Medicine,"Clinical, Pre-Clinical & Health",
